River Name,Monitoring Station / Location,State,,pH,Temperature (°C),Turbidity (NTU),DO (mg/L),BOD (mg/L),COD (mg/L),Total Coliform (MPN/100ml),EC (µS/cm),Data Source / Year,Completeness_Flag,synthetic_flag
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.19,20.25,1.35,8.21,1.91,11.5,309,200.1,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.48,14.09,2.1,8.95,0.83,17.2,167,284.2,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.39,13.16,1.35,8.53,1.64,13.5,501,215.4,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.46,15.58,2.09,8.41,3.67,16,367,225.3,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.58,16.37,0.04,7.9,0.63,13.6,303,350.6,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.18,22.58,2.34,8.25,,24.1,336,264.9,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.56,15.96,1.73,7.91,2.06,16.5,451,194.7,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,,23.98,2.65,8.47,2.78,10.5,789,257.8,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.68,23.38,,8.19,1.51,,311,315.7,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.52,18.29,0.71,7.72,2.16,21.7,248,159.8,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.36,13.57,,8.54,2.51,,339,241.3,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7,22.37,,7.26,2.16,13.5,,203.3,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.51,13.48,1.48,8.79,1.28,17.9,251,227.5,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.45,13,2.92,8.39,1.98,19.2,159,165.5,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.32,19.6,1.96,9.16,2.61,15.6,227,246.6,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.32,,2.2,7.91,2.91,8.2,505,278.4,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.12,12.88,1.38,8.52,3.02,12.1,337,204.7,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.47,18.74,1.14,,1.92,15.5,812,244.2,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.51,15.75,2.63,9.08,3.12,8.7,154,235.1,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.48,22.32,2.83,,2.43,8.4,385,262.5,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.39,20.73,,8.52,3.44,12.9,,222.3,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.62,18.79,3.03,7.61,2.77,18.6,316,313.9,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.33,23.81,,,2.08,13.9,31,194.9,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.55,17.14,1.95,8.9,1.38,16.5,333,279.5,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.61,15.72,1.17,8.78,1.95,17.5,340,159.1,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.44,19.34,2.66,9.71,2.32,,24,206.1,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.78,15.88,1.51,9.13,3.18,22.4,416,228.4,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.61,20.59,,8.59,3.71,11.7,373,226.4,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.5,26.65,1.69,8.63,2.75,,280,266.7,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.42,15.2,3.2,7.59,1.94,16.5,613,246.1,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.25,20.83,2.24,8.16,1.22,18.5,430,244,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.21,23.78,1.92,,2.84,16.8,413,276.9,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.3,25.2,,,2.63,12.3,468,210.8,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.52,,1.03,8.47,2.5,10.4,,,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,,16.88,,8.88,1.93,17.3,579,305.5,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.56,,3.32,8.62,4.58,12.2,647,261.9,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.48,15.71,,,4.23,16.7,307,257.2,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.33,24.3,0.77,7.62,2.72,19.2,636,222.5,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.62,23.52,1.37,8.74,2.99,16,189,209.7,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.57,11.04,1.64,,1.21,19.6,206,270.8,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.17,16.29,3.5,9.01,2.15,13.6,235,,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.51,18.21,2.73,8.45,2.58,,483,270.8,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.49,13.79,1.38,9.65,2.31,15.9,,279.7,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.57,,2.64,7.81,4.13,10.4,360,204.7,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.36,21.86,3.19,,3.1,17.8,240,332.5,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.25,9.39,1.36,7.71,,19,162,385.1,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.55,27.76,,8.84,3.09,18.4,451,266.9,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.25,13.59,2.18,9.34,3.42,8.7,102,306.4,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.16,19.76,1.98,8.83,2.72,20.5,325,224.2,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.21,15.23,1.28,9.04,2.21,20,165,266.7,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.41,17.41,2.96,9.83,1.94,9.5,282,404.8,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,,24.51,,8.38,1.92,10.9,170,176.6,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.1,19.5,3.23,7.77,4.17,16.7,158,246.7,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.29,22.94,3.09,8.87,1.41,13.7,542,258.5,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.28,12.68,0.16,8.8,1.4,6.4,377,399.6,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.54,16.84,2.27,8.69,1.83,19,265,204.7,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.4,,,8.83,2.51,9.8,86,231.7,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.41,,1.06,8.41,,17.4,,323.1,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.31,16.79,1.61,8.6,2.66,15,387,321.4,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.22,10.79,,8.96,1.92,4.6,190,273.5,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.42,14.11,3.2,8.4,2.47,11.3,211,196.9,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.3,22.16,1.39,9.6,,13,731,213.7,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.7,18.55,1.63,8.61,1.15,11.1,540,,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.55,14.97,,9.4,2.18,14,565,283.4,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.63,20.03,2.54,9.14,2.14,11.6,91,132,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.53,15.67,1.83,8.67,2.25,21.4,,294.1,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.46,15.39,1.47,8.85,3.74,15.1,361,352.1,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.38,13.1,1.79,7.99,1.92,,633,,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.28,20.59,1.88,8.75,1.61,13.3,444,227.6,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.17,23.05,1.45,10.03,1.94,15.7,608,,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.37,16.19,2.7,9.07,2.59,20.9,71,238.4,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.25,25.42,3.22,8.85,2.27,,,315.3,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.42,10.93,2.32,8.41,2.03,8.6,402,218,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.31,19.88,1,8.68,3.27,19.9,279,237.8,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.4,,0.42,9.03,3.24,13.9,313,281,synthetic_generated_2025,0,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.44,12.57,2.47,8.48,0.88,19.7,,201.4,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.28,18.34,,6.75,2.94,18.6,,189.4,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.3,14.8,1.52,7.93,2.62,21.5,,,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.53,17.69,1.82,10.42,2.8,12,214,318.9,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.33,23.12,2.07,9.01,2.98,11.6,171,311.8,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.26,19.69,4.06,7.86,2.52,20.6,284,,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.58,28.36,2.58,8.7,2.69,13.6,367,232.3,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.59,17.91,1,8.2,3.34,17.2,252,228,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.46,17.9,1.1,8.69,1.32,19.8,207,262.1,synthetic_generated_2025,1,1
Ganga,Haridwar (Shivaji Park),Uttarakhand,,7.25,15.29,2.51,8.61,2.85,17,426,316.6,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,6.77,26.24,2.43,7.41,,21.1,3918,285.2,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,7.09,26.04,4.23,9.34,3.16,,2461,295.7,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.39,30.55,3.29,7.33,3.61,27,645,339.1,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.07,12.85,4.52,8.87,3.29,25.7,5724,425.2,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.22,,3.59,9.2,2.57,21.2,1015,214.4,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,6.9,25.8,3.66,6.04,3.04,15.5,3138,427.2,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.42,22.11,7.3,7.44,2.44,10.9,1106,,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.1,22.73,6.72,,3.1,14.7,1803,262.5,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,6.98,29.05,3.3,,4.56,21.4,,343,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,7.17,12.59,2.4,7.59,3.74,13.8,5031,250.7,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.48,20.75,4.08,7.76,3.3,24.9,4086,180.1,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.14,25.9,6.12,8.9,2.66,18.7,866,255.5,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.11,,4.59,7.51,2.85,19.3,2323,290.4,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,7.34,20.33,5.85,7.87,3.34,22.7,641,229.9,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.04,18.9,3.16,7.03,0.53,24.5,354,339.1,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,6.95,24.48,2.57,7.39,7.47,11,3007,357.4,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.28,21.85,5.75,7.45,0.84,27.6,688,267.7,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.3,25.23,,7.59,3.2,19.1,2110,410.7,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.2,20.06,5.75,8.45,,22.4,556,209.6,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,7.35,24.58,2.22,7.93,,24.5,4877,,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,,,0.29,7.71,3.5,15.1,3818,395,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,7.37,21.03,2.97,5.5,4.45,12.6,2619,342.2,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.24,19.54,5.11,6.53,4.21,23,4620,,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.04,27.61,3.5,7.49,3.01,20.9,4150,250.6,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.37,21.31,,7.4,3.9,16.5,2377,309.3,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.22,22.99,2.26,7.18,4.42,27.2,2221,,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.11,29.26,4.15,7.8,4.43,13.2,4578,313.9,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,6.96,30.21,1.7,8.14,,23.6,1411,,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,7.15,17.03,1.62,7.31,7.12,24.7,2461,299,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,,24.96,2.79,6.93,3.65,,21,202.6,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,,29.45,0.3,6.67,3.35,10.1,2148,,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,6.95,18.92,2.75,7.18,5.42,23.3,277,339.7,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.4,21.62,,7.65,2.25,32.5,715,334.8,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,,20.67,2.64,8.09,1.1,22.8,6548,210.9,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,7.29,22.1,2.22,7.99,6.21,,,216.5,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,6.95,25.02,5.26,7.05,2.79,21.6,1626,,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.07,28.61,6.34,6.9,0.7,26,1130,383.3,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.12,25.43,3.71,8.08,6.46,10.6,5734,328.3,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,6.91,21.94,1,7.86,4.83,17.5,2708,335.9,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,6.84,23.6,2.49,7.42,4.02,,1148,322.7,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.34,16.26,4.83,7.96,0.91,15.9,4888,241.5,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.55,,3.67,6.69,2.25,23.1,3336,432.1,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,7.6,37.55,4.71,7.32,4.3,25.3,1858,463.6,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.29,25.89,4.42,,3.49,,316,289,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,6.9,20.21,5.28,8.08,4.25,20.3,2514,267.2,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.1,17.69,4.89,,5.09,,3867,210.7,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,6.99,15.24,,8.61,2.56,29.2,1428,183.4,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,,15.37,2.67,7.76,2.05,14.3,3187,316.1,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,6.83,17.35,0.51,,,11.3,656,239.7,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,7.53,28.7,0.9,8.33,4.72,13.1,4137,443,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.31,23.7,4.28,6.17,5.07,27,2041,316.5,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.2,,3.95,7.13,3.3,25,1626,191.5,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,7.26,20.83,1.93,6.81,2.13,15,2365,262.7,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.22,25.71,4.46,6.26,4.8,25.3,973,323,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.15,,0.82,8.19,2.59,,6485,258.7,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,,18.55,2.51,8.94,1.62,24.9,1942,297.6,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,6.98,17.87,9.4,8.74,1.47,12.1,3463,363.8,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.15,17.74,3.85,10.49,4.05,18.1,4343,358.6,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.12,20.52,5.45,8.42,1.63,,1080,219.3,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.4,32.44,0.33,5.62,6.31,22.3,763,362.8,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.02,,1.51,,4.79,18.6,2576,204.1,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,7.26,30.79,4.24,7.89,3.42,,4692,269.9,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.19,22.29,5.2,5.25,2.59,21.3,4900,,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.08,10.97,5.29,,4.48,13.2,2097,319.5,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,7.22,29.05,4.32,6.64,5.61,24.2,1613,281.6,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,6.99,23.99,7.12,7.28,2.23,,320,257.2,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.3,27.15,2.18,8.35,1.86,25.3,2843,364.3,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,,25.13,,8.08,3.89,16.8,,163,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,,20.49,2.84,8.23,4,21.9,3438,197.2,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,7,,3.42,7.37,4,,4663,215,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,7.6,27.12,4,8.55,3.72,20.1,1797,445.1,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,7.33,26.43,2.32,7.62,6.43,17,382,438.5,synthetic_generated_2025,1,1
Ganga,Bijnor,Uttar Pradesh,,,30.43,4.63,6.62,6.48,16.8,1829,347.4,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,6.69,,,6.35,4.08,18.8,6010,445.8,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,6.97,25.11,4.76,,4.84,,3006,385.6,synthetic_generated_2025,0,1
Ganga,Bijnor,Uttar Pradesh,,7.16,18.27,3.15,5.95,2.76,18.3,1987,300.7,synthetic_generated_2025,1,1
